127.0.0.1 - - [05/Aug/2023:11:18:49 +0900] "GET / HTTP/1.1" 200 16072
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:18:59 +0900] "GET /resources/img/%EB%82%98%EC%9D%98%ED%9E%88%EC%96%B4%EB%A1%9C%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84.mp4 HTTP/1.1" 206 245760
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:18:59 +0900] "GET /resources/img/%EB%82%98%EC%9D%98%ED%9E%88%EC%96%B4%EB%A1%9C%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84.mp4 HTTP/1.1" 206 680308
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET / HTTP/1.1" 200 16072
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 5051
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/css/home.css HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/sound_on.png HTTP/1.1" 200 95057
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/js/home.js HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/sound_off.png HTTP/1.1" 200 95204
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/B66K_logo_white.png HTTP/1.1" 200 9989
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/%EB%82%98%EC%9D%98%ED%9E%88%EC%96%B4%EB%A1%9C%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84_logo.png HTTP/1.1" 200 22044
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/%EC%B5%9C%EC%95%A0%EC%9D%98%EC%95%84%EC%9D%B4_logo.png HTTP/1.1" 200 38657
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/%ED%97%8C%ED%84%B0%ED%97%8C%ED%84%B0_logo.png HTTP/1.1" 200 63747
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/%EB%82%98%EB%A3%A8%ED%86%A0_logo.png HTTP/1.1" 200 54596
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/%EC%A3%BC%EC%88%A0%ED%9A%8C%EC%A0%84_logo.png HTTP/1.1" 200 82692
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/e311e9f6-ccf5-40ca-bde6-bdc58480584d_%EB%A7%88%EC%8A%90%20MASHLE%2014.jpg HTTP/1.1" 200 181782
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/50055e61-ac82-482b-8127-e2f483010b3d_%EC%9C%84%EC%B9%98%20%EC%9B%8C%EC%B9%98%208.jpg HTTP/1.1" 200 206876
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/f34e3ba7-7733-4608-8baf-4a95d2e1fcfe_%EC%8A%A4%ED%8C%8C%EC%9D%B4%20%ED%8C%A8%EB%B0%80%EB%A6%AC%2011.jpg HTTP/1.1" 200 110102
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/abc951f9-0056-4aa7-bb19-762e69598330_%EC%8A%A4%ED%82%B5%EA%B3%BC%20%EB%A1%9C%ED%8D%BC%206.jpg HTTP/1.1" 200 125054
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/4910684c-bf4d-4f41-823f-a34a0c46d9ce_%EC%B5%9C%EC%95%A0%EC%9D%98%20%EC%95%84%EC%9D%B4%2011.jpg HTTP/1.1" 200 154898
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/799afa37-fb4e-4bca-bd05-948938a3b60f_%ED%99%94%EC%82%B0%EA%B7%80%ED%99%98%203.jpg HTTP/1.1" 200 122395
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/42a8d6fb-777e-4c97-b59e-323863389164_%ED%99%98%EA%B4%B4%EC%A7%80%EB%8C%80%20%EC%97%90%ED%85%8C%EB%A5%B4%EC%9D%98%20%EB%A7%88%EC%9D%84.jpg HTTP/1.1" 200 208884
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/5f946eaf-a687-46fa-8bcf-8f2ed6a18d4b_%EC%83%88%EB%B2%BD%EC%9D%98%20%EC%97%B0%ED%99%94%2039.jpg HTTP/1.1" 200 150633
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/07/27/1f669a2d-e744-42dd-a076-23a58d29e242_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2014.jpg HTTP/1.1" 200 120206
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/08/02/7e239a17-b890-47b0-afde-f668e469827a_%EC%9D%B8%EC%86%8C%EC%9D%98%20%EB%B2%95%EC%B9%99%205.jpg HTTP/1.1" 200 129734
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/07/23/85e36331-59d7-4624-a00a-5b6012d4b605_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%207.jpg HTTP/1.1" 200 110492
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/07/27/7f3b4c1b-3a91-4959-8066-125ce5e591aa_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%2013.jpg HTTP/1.1" 200 148229
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/07/23/0185bbec-bcee-4516-ad25-3d6f51506667_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%206.jpg HTTP/1.1" 200 110255
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /resources/img/B66K_logo_black.png HTTP/1.1" 200 10157
0:0:0:0:0:0:0:1 - - [05/Aug/2023:11:23:49 +0900] "GET /upload/2023/07/18/2206098d-6cbc-4fa0-9246-fa5726575216_%EB%82%98%EC%9D%98%20%ED%9E%88%EC%96%B4%EB%A1%9C%20%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EC%95%84%203.jpg HTTP/1.1" 200 133977
